NAME,TAXONOMY_UID
Homo sapiens,9606
Onion,4679
duck,8835
fungi,4751
rabbit,9986
wheat,45651
chicken,9031
bos taurus,9913
canis lupus familaris,9615
turkey,9005
monkey,314293
medicago sativa,3879
horse,9697
cellular organisms,131567
sheep,9940
bacteria,2
