"input_location","output_location","notes","version"
"United Kingdom,Also possible Americas,Africa or Europe","United Kingdom","","20231103"
"China,Lianyungang City,Yanwei Harbor","China, Jiangsu,Lianyungang","","20231103"
"Poland,North-East","53.580728766666674;21.8779313344639","coordinates, middle_point: ['Poland, Elblag', 'Poland, Elk', 'Poland, Bialowieski']","20231103"
"China,Shandi River Basin,Yangquan city","China, Shanxi,Yangquan","","20231103"
"USA,Colorado,CAFO C","United States,Colorado","","20231103"
"Canada,Kelburn,Manitoba","50.168991196650836;-97.04687046571114","coordinates","20231103"
"Taiwan,green house,National Taiwan University,Taipei","Taiwan, Taipei,National Taiwan University","","20231103"
"Russia,Adygea republic,North Caucasus","Russia, Southern Federal District,Republic of Adygea","","20231103"
"China,suburban of Shanghai","Shanghai,China","","20231103"
"China,Sanjiang County,Liuzhou,Guangxi","China, Guangxi,Sanjiang County","","20231103"
"Switzerland,Equine clinic,Vetsuisse,University of Bern","Switzerland, Bremgartenstrasse,Veterinary hospital","","20231103"
"China,Danxia mountain of Hengyang","Danxia Mountain","","20231103"
"USA,ex Germany","USA","","20231103"
"Germany,near Stuttgart","Germany,Stuttgart","","20231103"
"Brazil,port of Santos","Brazil,Porto de Santos","","20231103"
"Spain,Southern Atlantic coast","Spain,Galicia,Fisterra","","20231103"
"Russia,North Caucasus (Krasnodar region)","Russia, Krasnodar Krai,Krasnodar","","20231103"
"China,Zhiduo County,Yushu City,Qinghai","China, Qinghai, Yushu,Yushu City","","20231103"
"China,Yushu prefecture,Qinghai Province","China, Qinghai,Yushu","","20231103"
"South Korea,Yeong-wol","South Korea, Gangwon State,Yeongwol-gun","","20231103"
"Martinique,(FWI),Case pilote","France, Martinique,Case-Pilote","","20231103"
"Australia,U-Vet Werribee Animal Hospital","-37.88937865;144.69351204677758","coordinates","20231103"
"Ecuador,SantoDomingo","Ecuador,Santo Domingo","","20231103"
"USA,SUNY-Binghampton Campus,New York","United States , New York,State University of New York at Binghamton","","20231103"
"China,Dlian,Liaoning","China, Liaoning,Dalian","","20231103"
"Japan,Kochi,Kagamigawa River","Japan,Kagami River","","20231103"
"Finland,Lake Vesijarvi","Finland, Kangasala,Vesijarvi","","20231103"
"Ghana,Asante Akyem District","Ghana, Ashanti Region,Asante-Akim South Municipal District","","20231103"
"Russia,Cheremukhovskoe oilfield,Republic of Tatarstan","Russia, Volga Federal District,Tatarstan","","20231103"
"Italy,Lazio / Tuscano","Italy, Lazio, Viterbo,Tuscania","","20231103"
"Romania,Puturosu Mountain","Romania, Cozmeni,Ciomatul Mare","","20231103"
"Russia,delta of the Lena River","73.211;125.239","coordinates","20231103"
"Australia,remote Western Australia","Australia,Western Australia","","20231103"
"China,East China Sea","East China Sea","","20231103"
"Japan,Goto Island Nagasaki Prefecture","Japan, Nagasaki Prefecture,Goto","","20231103"
"Denmark,Jgersborg Dyrehave","Denmark,Jaegersborg Dyrehave","","20231103"
"South Korea,Daejeon-si,Yuseong-gu","South Korea, Daejeon,Yuseong-gu","","20231103"
"China,Haishan peninsula,Hepu Town,Guangxi","China, Guangxi, Beihai, Hepu County,Gongguan","","20231103"
"China,Tibet Autonomous Region,Zhu Village,Banbar County,Qamdo City","China, Tibet, Chamdo City, Banbar County,Dowa","","20231103"
"Japan,Inland Sea (Setonaikai),Ako City,Hyogo Prefecture","Seto Inland Sea","","20231103"
"China,Ziya Circular Economy Park","China , 300457, Tianjin, Binhai New Area,Huanghai Road","","20231103"
"Korea,Gyeongsangnam-do,Miryang-si","South Korea, Gyeongsangnam-do,Miryang-si","","20231103"
"France,Maine-et-Loire Gtign","France,Maine-et-Loire","","20231103"
"South Korea,offshore of Yeosu,Jeollanam-do","South Korea, Jeollanam-do,Yeosu","","20231103"
"China,Yunnan Wild Animal Park,Yunnan","25.09959035;102.77768778491279","coordinates","20231103"
"China,shannxi","China,Shaanxi","","20231103"
"China,Qingdao offshore","Qingdao,China","","20231103"
"Sweden,Baltic Sea,Norrbyn Umeaa","Sweden,Norrbyn","","20231103"
"USA,Scottbluff,NE","USA, Nebraska,Scottsbluff","","20231103"
"Brazil,Riachao,Maranhaeo Sate","Brazil, Maranhao,Riachao","","20231103"
"Denmark,Deer feeding","Denmark","","20231103"
"China,Xiangshan Harbor","29.634146171590668;121.83185643685681","coordinates","20231103"
"Japan,Nakabusa Hotspring Nagano","36.39427318953145;137.74680642914413","coordinates","20231103"
"USA,Tenesee","USA,Tennessee","","20231103"
"China,wheat rhizosphere soil,Nanjing","China, Jiangsu,Nanjing","","20231103"
"China,Hojhot","China, Inner Mongolia,Hohhot","","20231103"
"Germany,State of Brandenburg,Potsdam-Mittelmark,NIEMGK","Germany, Brandenburg, Potsdam-Mittelmark,Niemegk","","20231103"
"Russia,Western Siberia","Russia,West Siberia","","20231103"
"United Kingdom,Scotland,Glasgow,diseased horse chestnut tree","United Kingdom, Scotland,Glasgow","","20231103"
"Denmark,Kongens Have park,diseased horse chestnut tree","55.40020000304587;10.385903287653836","coordinates","20231103"
"United Kingdom,Scotland,near Pitlochry,Perthshire,diseased horse chestnut tree","United Kingdom, Scotland,Pitlochry","","20231103"
"India,Trans-Himalayan region","India,Hemis National Park","","20231103"
"Peru,Puno region village in Peruvian Andes","Peru, Puno,Puno","","20231103"
"Canada,Aklavik village,Northwest Territories","Canada, Northwest Territories,Aklavik","","20231103"
