lat	lng	location	type
59.93	10.74	59.93N;10.74E	coordinates
44.57	-100.87	44.57N;100.87W	coordinates
32.060973600000004	118.79164579999998	China,Nanjing	name
-31.1142345	152.92468359999995	Australia,Sealake	name
25.119474	121.520112	25.119474N;121.520112E	coordinates
23.5982979	120.8353631	Taiwan	name
57.6823	11.9613	57.6823N;11.9613E	coordinates
0.055815099999999986	34.542302800000016	0.0558151N;34.542302800000016E	coordinates
35.65519600000001	139.833548	35.655196N;139.833548E	coordinates
42.3602534	-71.0582912	USA,Boston	name
52.2321335	-8.670124699999974	52.2321335N;8.670124699999974W	coordinates
41.54	12.3	41.54N;12.30E	coordinates
26.8957	122.0051	26.8957N;122.0051E	coordinates
38.55	-121.76	38.55N;121.76W	coordinates
49.26	-123.12	49.26N;123.12W	coordinates
38.8936613	-76.9878833	USA,DC	name
49.1977086	-123.1912406	USA,Richmond,VA	name
59.67497120000001	14.5208584	Sweden	name
39.3262345	-4.838064900000001	Spain	name
39.35	-120.32	39.35N;120.32W	coordinates
46.52	6.58	46.52N;6.58E	coordinates
46.5969028	125.1014811	China,Daqing	name
36.3420485	140.39843259999998	Japan,Ibaraki	name
34.5816245	135.4663956	Japan,Sakai City,Osaka prefecture	name
37.09	121.0	37.09N;121.00E	coordinates
33.909402	130.84774099999998	33.909402N;130.847741E	coordinates
53.68	-9.44	53.68N;9.44W	coordinates
47.4	8.6	47.4N;8.6E	coordinates
25.0	102.0	China,Yunnan Province	name
39.702907	119.16145	China,Hebei Qinhuangdao Changli	name
37.4	126.67	37.4N;126.67E	coordinates
31.52	117.16	31.52N;117.16E	coordinates
37.8851289	128.8260492	South Korea,Gangwondo	name
29.0000001	119.9999999	China,Zhejiang	name
-79.4063075	0.3149312	Antarctica	name
34.69686420000001	139.4049033	Japan,Tokyo	name
16.4913541	80.600482	India,Guntur,Andhra Pradesh	name
31.7	130.8	31.7N;130.8E	coordinates
35.0	119.3	35N;119.3E	coordinates
-35.0	147.0	35S;147E	coordinates
-32.054	150.859	32.054S;150.859E	coordinates
31.22	121.53	31.22N;121.53E	coordinates
-24.7761086	134.755	Australia	name
40.8	-96.667821	USA,Lincoln,NE	name
35.4342935	139.374753	Japan,Kanagawa	name
41.9	12.5	41.9N;12.5E	coordinates
27.7567667	-81.4639835	USA,Florida	name
42.98	141.24	42.98N;141.24E	coordinates
27.06	30.11	27.06N;30.11E	coordinates
23.1171311	113.32144840000002	China,Guangzhou,Guangdong	name
-28.506825	-59.044826	28.506825S;59.044826W	coordinates
35.6892	51.389	35.6892N;51.3890E	coordinates
38.27312	-98.5821872	USA,Kansas	name
44.99	-93.17000000000002	44.99N;93.17000000000002W	coordinates
61.0666922	-107.9917071	Canada	name
38.7251776	-105.6077167	USA,CO	name
21.0277	105.8341	21.0277N;105.8341E	coordinates
23.99	117.8	23.99N;117.8E	coordinates
5.323023	100.303392	5.323023N;100.303392E	coordinates
55.65719	12.47364	Denmark,near Hvidovre	name
36.0	96.0	China,Qinghai province	name
55.6441712	12.4772091	Denmark,Hvidovre	name
36.5581914	127.9408564	Korea	name
40.0796606	-89.4337288	USA,IL	name
22.5445697	114.0545346	China,Shenzhen	name
-36.5986096	144.6780052	Australia,Victoria	name
32.9715645	-89.7348497	USA,Mississippi	name
54.4313	160.1334	54.4313N;160.1334E	coordinates
50.4756986	5.5748498	Belgium,Comblain-au-Pont	name
60.1674086	24.9425683	Finland,Helsinki	name
47.4708527	8.4026156	Switzerland,Boppelsen	name
65.0	-18.0	South Korea,Cheju Island	name
30.4960087	114.15828590000002	China,Caidian District,Wuhan,Hubei	name
-19.49	132.55	19.49S;132.55E	coordinates
51.51	-0.13	51.51N;0.13W	coordinates
42.36	-71.05	42.36N;71.05W	coordinates
10.77	106.68	10.77N;106.68E	coordinates
-34.9964963	-64.9672817	Argentina	name
46.603354	1.8883335	France	name
34.928515999999995	134.44536200000002	34.928516N;134.445362E	coordinates
35.0	134.5	35.0N;134.5E	coordinates
35.991687	140.359492	Japan,Ibaraki,Lake Kasumigaura	name
28.4704064	119.9184297	China,Lishui	name
29.35	106.33	29.35N;106.33E	coordinates
18.0	100.0	18N;100E	coordinates
36.0	124.0	China,Yellow Sea	name
-5.77926	-35.2009	5.77926S;35.2009W	coordinates
47.5	7.6	47.5N;7.6E	coordinates
49.8167003	15.4749544	Czech Republic	name
14.8971921	100.83273	Thailand	name
22.3511148	78.6677428	India	name
33.3128	44.3615	33.3128N;44.3615E	coordinates
64.6863136	97.7453061	Russia	name
48.74115220000001	19.4528646	Slovakia	name
-19.920833	-43.937778	19.920833S;43.937778W	coordinates
-37.4713	144.7852	37.4713S;144.7852E	coordinates
29.97	91.11	29.97N;91.11E	coordinates
27.33	88.07	27.33N;88.07E	coordinates
-32.57	-60.42	32.57S;60.42W	coordinates
27.34	88.05999999999996	27.34N;88.05999999999995E	coordinates
27.33	88.06999999999994	27.33N;88.06999999999994E	coordinates
53.2223044	6.5737687000000005	53.2223044N;6.5737687E	coordinates
37.4682	126.943	37.4682N;126.943E	coordinates
-22.8951	-43.2431	22.8951S;43.2431W	coordinates
21.116670000000006	106.05	korea,chung-nam	name
30.641550786337532	104.06053988885469	30.64155078633754N;104.06053988885469E	coordinates
35.91911	127.17253999999998	South Korea,Wanju	name
29.53522956294847	68.5546895	29.53522956294847N;68.5546895E	coordinates
35.0841034	-106.6509851	USA,New Mexico,Albuquerque	name
40.6022059	-75.47127940000001	USA,Pennsylvania,Allentown	name
43.0171773	-83.7236024	USA,Michigan,Flint	name
40.4416941	-79.99008609999998	USA,Pennsylvania,Pittsburgh	name
41.1670412	-73.2048348	USA,Connecticut,Bridgeport	name
39.7459468	-75.546589	USA,Delaware,Wilmington	name
39.9524152	-75.16357550000002	USA,Pennsylvania,Philadelphia	name
29.7589382	-95.3676974	USA,Texas,Houston	name
42.3736	-71.1097	42.3736N;71.1097W	coordinates
53.4702016	-2.2393218	United Kingdom,Manchester University	name
14.1555036	121.2250135	Philippines,Los Banos	name
32.329380900000004	-83.1137366	USA,Georgia	name
39.5162234	-76.9382069	USA,MD	name
45.98965870000001	-94.6113288	USA,MN	name
43.58404	10.55334	Russia,Kolyma,Lowlands,Siberia	name
29.9474143	119.3163061	China,Tianmu Mountain	name
32.3661	-84.9692	32.3661N;84.9692W	coordinates
51.42	-0.17	51.42N;0.17W	coordinates
35.86	128.6	35.86N;128.60E	coordinates
30.26	120.19	30.26N;120.19E	coordinates
45.2555625	-74.13161529999998	Canada,Salaberry-de-Valleyfield	name
53.13	6.33	53.13N;6.33E	coordinates
39.909933	18.145952	39.909933N;18.145952E	coordinates
39.995685	18.069348	39.995685N;18.069348E	coordinates
28.27	119.54	28.27N;119.54E	coordinates
-43.5321	172.6362	43.5321S;172.6362E	coordinates
43.232774600000006	-79.97597359999997	Canada,Ancaster,Ontario	name
32.7812755	-115.5700918	USA,Imperial Valley,California	name
55.001251	-125.002441	Canada,British Columbia	name
64.13136379999999	-21.7806171	Iceland,Keldur,Reykjavik	name
28.91	105.5	28.91N;105.5E	coordinates
32.3913	-84.8229	32.3913N;84.8229W	coordinates
31.66667	88.0	China,Dengpa District,Tibet Autonomous Region	name
29.7604	-95.3698	29.7604N;95.3698W	coordinates
38.70775070000001	-9.1365919	Portugal,Lisbon	name
52.5170365	13.388859900000002	Germany,Berlin	name
27.7567667	-81.4639835	USA,Fl	name
18.2214172	-66.4132819	Puerto Rico	name
54.5101087	36.2598115	Russia,Kaluga	name
35.5088778	-108.8122323	USA,Gallup,NM	name
51.287861	0.438313	51.287861N;0.438313E	coordinates
21.116670000000006	106.05	South Korea,chung-nam	name
46.7985624	8.231973599999998	Switzerland	name
18.44	-99.02472	Mexico,Huautla Morelos	name
64.5731537	11.5280364	Norway,south east	name
32.060973600000004	118.79164579999998	China,nanjing	name
21.0292095	105.85247	Viet Nam,Hanoi	name
38.11047	15.66129	Belarus,Minsk area,Myadzel reg.	name
56.14962779999999	10.2134046	Denmark,Aarhus	name
-22.9068	-43.1729	22.9068S;43.1729W	coordinates
45.7656666	126.6160584	China,Harbin	name
3.16667	14.95	Norway,Skammestein at route 51 northwest of Fagernes,intersection to E16	name
35.991687	140.359492	Japan,Lake Kasumigaura	name
25.0	101.5	China,Tenchong area,Yunnan province	name
40.033265	-7.889626299999999	Portugal	name
6.30004	87.00001999999998	6.30004N;87.00002E	coordinates
24.11	120.35	24.11N;120.35E	coordinates
38.984652	-77.09470899999997	38.984652N;77.09470899999997W	coordinates
50.9943	3.2667	50.9943N;3.2667E	coordinates
34.862829100000006	128.731725	South Korea,Geojedo	name
33.27	96.38	33.27N;96.38E	coordinates
41.1172364	1.2546057	Spain,Tarragona	name
63.2467777	25.9209164	Finland	name
30.17	104.15	30.17N;104.15E	coordinates
32.097681	131.29454199999998	Japan,Miyazaki	name
39.970433	177.32685	39.970433N;177.32685E	coordinates
54.00135	179.58148300000005	54.00135N;179.581483E	coordinates
53.69993	7.70288	Germany,Wadden Sea,Neuharlingersiel	name
41.2033	-77.1945	41.2033N;77.1945W	coordinates
29.3367271	104.7765295	China,Sichuan,Zigong	name
39.54859	-107.65617	Ukraine,Crimean Lake Mainaki silt	name
29.3367271	104.7765295	China,Zigong	name
30.4528163	116.3052676	China,lake Taihu	name
34.754625700000005	127.659859	South Korea,Yeosu	name
46.736	-116.6764	46.7360N;116.6764W	coordinates
30.67	104.06	30.67N;104.06E	coordinates
29.9992425	120.576854	China,Shaoxing	name
36.0	96.0	China,Qinghai	name
46.0646	-118.343	46.0646N;118.3430W	coordinates
53.9333	-116.5765	53.9333N;116.5765W	coordinates
22.28	114.14	22.28N;114.14E	coordinates
42.6384261	12.674297	Italy	name
-19.9245	-43.9352	19.9245S;43.9352W	coordinates
24.1955	55.65	24.1955N;55.65E	coordinates
36.3496963	127.384902	South Korea,Daejeon	name
1.4256	94.3364	1.4256N;94.3364E	coordinates
-21.3019905	165.4880773	New Caledonia	name
29.9522	122.1035	29.9522N;122.1035E	coordinates
48.0	7.85	48.00N;7.85E	coordinates
41.129021347495105	-74.190673828125	41.1290213474951N;74.190673828125W	coordinates
38.5509595	-121.7680821	USA,Davis,CA	name
22.39	114.11	22.39N;114.11E	coordinates
40.78999	-73.953689	40.789990N;73.953689W	coordinates
52.00017	-71.99906999999997	Canada,Lake Prime-Huron,Quebec	name
38.3042796	116.8511597	China,Cangzhou	name
25.3336984	51.2295295	Qatar	name
30.650611600000005	104.0808356	China,Chengdu city,Sichuan Province	name
52.2379891	5.5346074	Netherlands	name
36.0000001	118.9999999	China,Shandong	name
21.30261944	117.71093059999998	21.30261944N;117.7109306E	coordinates
40.08	-75.19	40.08N;75.19W	coordinates
37.4882	127.0856	37.4882N;127.0856E	coordinates
52.05	-106.39	52.05N;106.39W	coordinates
41.1	142.12	41.10N;142.12E	coordinates
40.7308619	-73.9871558	USA,New York City	name
71.3	-157.0	71.3N;157W	coordinates
36.63722	127.48972	South Korea,agricultural soil in Cheongju	name
32.0	109.4	32.00N;109.40E	coordinates
51.8344172	10.7862526	Germany,Wernigerode	name
0.69	2.25	0.69N;2.25E	coordinates
-45.8647	170.5144	45.8647S;170.5144E	coordinates
-12.23	-77.8472	12.230S;77.8472W	coordinates
31.2	121.4	31.20N;121.40E	coordinates
30.91	121.17	30.91N;121.17E	coordinates
46.550391	8.711068	46.550391N;8.711068E	coordinates
29.5	120.91	29.5N;120.91E	coordinates
1.2941	103.783	1.2941N;103.7830E	coordinates
40.7308619	-73.9871558	USA,New York	name
-37.81	144.96	37.81S;144.96E	coordinates
28.3	118.22	28.30N;118.22E	coordinates
55.66	12.58	55.66N;12.58E	coordinates
35.227956	128.6818586	South Korea,Changwon	name
30.38	104.02	30.38N;104.02E	coordinates
9.6000359	7.999972099999999	Nigeria	name
34.311037299999995	126.7553933	Korea,Wando,Jeollanam-do	name
35.1799528	129.0752365	South Korea,Busan	name
37.4734048	126.6165903	South Korea,Incheon	name
35.30981329999999	126.982982	South Korea,Jeonnam	name
43.1561681	-75.84499459999998	USA,NY	name
-29.83432	30.99865	29.83432S;30.99865E	coordinates
31.7095429	91.6417667	China,NaQu,Xizang	name
29.7329665	91.6910774	China,LaSa,XiZang	name
43.58404	10.55334	Russia,Baikal Lake region,Siberia	name
41.3785479	122.42683429999998	China,taian	name
33.297517	130.1082267	Japan,Saga	name
12.689	100.982	12.6890N;100.9820E	coordinates
-37.814217600000006	144.9631608	Australia,Melbourne	name
37.761	126.77272	South Korea,Paju,Gyeonggi-do	name
-21.3432194	55.49575640000001	France,La Reunion Island	name
4.6125522000000005	13.153581099999998	Cameroon	name
25.213108	55.1832748	South Africa	name
-6.5247123	35.7878438	Tanzania	name
45.98521289999999	24.6859225	Romania	name
47.3752671	-109.63875790000002	USA,MT	name
32.5	72.4	32.5N;72.40E	coordinates
39.920472	116.4110336	China,Xinjiang Municipality	name
55.75	37.62	55.75N;37.62E	coordinates
37.77	-122.42	37.77N;122.42W	coordinates
34.6937569	135.5014539	Japan,Osaka	name
56.6	53.0	56.6N;53.0E	coordinates
57.1	54.0	57.1N;54.0E	coordinates
57.0	60.0	57N;60E	coordinates
57.5	53.1	57.5N;53.1E	coordinates
56.5	53.8	56.5N;53.8E	coordinates
-37.8457	144.9821	37.8457S;144.9821E	coordinates
-3.3634357	29.8870575	Burundi	name
31.1667049	36.941628	Jordan	name
35.7730076	-86.28200809999998	USA,TN	name
24.4768783	90.2932426	Bangladesh	name
35.6729639	-79.03929190000002	USA,North Carolina	name
39.0742	21.8243	39.0742N;21.8243E	coordinates
36.58	-121.6599	36.58N;121.6599W	coordinates
3.2246365000000003	98.5158122	Indonesia,hot spring	name
35.8242715	127.14806570000002	South Korea,Jeonju	name
52.115833	12.079444	52.115833N;12.079444E	coordinates
16.2289372	-92.1204932	Mexico,Comitan de Dominguez,Chiapas	name
40.6	140.4	40.6N;140.4E	coordinates
55.001251	-125.002441	Canada,BC	name
34.271725	108.0800183	China,Yangling	name
28.68	115.89	28.68N;115.89E	coordinates
51.2715316	-0.34145240000000004	United Kingdom,Surrey	name
37.535243	122.0531356	China,Weihai,Shandong	name
33.21	96.62	33.21N;96.62E	coordinates
36.6403876	127.4855211	South Korea,Yeong-dong	name
38.8579735	115.490696	China,Baoding	name
46.91807	-104.00437	Japan,Kagoshima,Tokunoshima Island,Rikuhama beach	name
37.8732096	-122.3002534	USA,94710	name
-23.9491	-51.5415	23.9491S;51.5415W	coordinates
14.4	-61.0	14.40N;61.00W	coordinates
38.8949549	-77.03664559999999	USA,Washington D.C.	name
33.0000001	119.9999999	China,Jiangsu	name
-10.943145	-62.8277863	Brazil,Rondonia	name
36.21	-121.17	36.21N;121.17W	coordinates
36.7	-121.3	36.7N;121.3W	coordinates
34.134718799999995	128.06197279999998	South Korea,South sea	name
20.0120263	110.1793098	20.0120263N;110.1793098E	coordinates
-24.1289	-51.4797	24.1289S;51.4797W	coordinates
36.03	103.5	36.03N;103.50E	coordinates
37.27	127.01	37.27N;127.0100E	coordinates
8.3676771	49.083416	Somalia	name
52.08603	5.17959	52.08603N;5.17959E	coordinates
41.0748	-73.77510000000002	41.0748N;73.77510000000001W	coordinates
34.53	127.7	34.53N;127.7E	coordinates
23.97694	121.60444	Taiwan,Taroko National Park,Hualien	name
27.66667	111.75	China,Chenzou city,Hunan province	name
36.7454236	126.29836	South Korea,Taean	name
41.6809707	44.02873820000001	Georgia	name
37.8407	127.0151	37.8407N;127.0151E	coordinates
36.07783	128.09022	Korea,Gimcheon	name
33.3940067	126.5626688	South Korea,Jeju	name
37.46271	118.49165	China,Kenli Petrochemical Plant,Dongying	name
69.6492	18.9553	69.6492N;18.9553E	coordinates
52.8398531	9.075962	Germany,Lower Saxony	name
52.7954791	-0.5402403	United Kingdom,England	name
23.13	113.26	23.13N;113.26E	coordinates
-39.6333	-73.1167	39.6333S;73.1167W	coordinates
-19.2806167	147.0308833	19.2806167S;147.0308833E	coordinates
39.04	-76.92	39.04N;76.92W	coordinates
37.57	128.98000000000002	37.57N;128.98000000000002E	coordinates
37.54	127.0	37.54N;127E	coordinates
31.1244028	104.39013	China,Sichuan,Deyang	name
47.682726	9.173527	47.682726N;9.173527E	coordinates
30.256769	120.201999	30.256769N;120.201999E	coordinates
35.1601443	126.8513006	South Korea,Gwangju	name
38.9953683	21.9877132	Greece	name
55.9496416	-3.1902352	United Kingdom,Scotland,Edinburgh	name
39.5158825	-116.8537227	USA,Nevada	name
23.8	90.37	23.80N;90.37E	coordinates
41.7370229	-99.5873816	USA,Nebraska	name
47.263157	-122.24006599999998	USA,Pacific Ocean coast,Washington	name
1.3521	103.8198	1.3521N;103.8198E	coordinates
41.1169056	122.0655098	China,Panjin	name
32.95	-90.51	32.95N;90.51W	coordinates
41.5	85.5	China,Northern Xinjiang	name
38.366667	117.333333	China,Huanghua	name
38.4425293	116.0901457	China,Hejian	name
23.32213	116.34295	China,Guiyu	name
44.4308975	-89.6884637	USA,Wisconsin	name
37.5726028	-85.1551411	USA,KY	name
26.2540493	29.2675469	Egypt	name
56.78611120000001	-4.1140518	United Kingdom,Scotland	name
-27.4689682	153.02349909999995	Australia,Brisbane	name
45.0846693	-73.1493677	Canada,Monteregie,Quebec	name
36.7014631	-118.7559974	USA,California	name
